createdAt,amount,originRate
2015-03-21T20:18:04.214Z,1.00,1.00
2015-03-21T20:17:52.078Z,1.00,1.00
2015-03-21T20:17:32.730Z,1.00,1.00
2015-03-21T20:17:22.990Z,1.00,1.00
2015-03-21T20:17:16.907Z,1.00,1.00
2015-03-21T20:17:10.551Z,1.00,1.00
2015-03-21T20:16:59.199Z,1.00,1.00
2015-03-21T20:16:53.031Z,1.00,1.00
2015-03-21T20:16:43.467Z,1.00,1.00
2015-03-21T20:16:36.166Z,1.00,1.00
2015-03-21T20:16:29.831Z,1.00,1.00
2015-03-21T20:16:16.823Z,1.00,1.00
2015-03-21T20:16:06.706Z,1.00,1.00
2015-03-21T20:15:52.199Z,1.00,1.00
2015-03-21T20:15:35.153Z,1.00,1.00
2015-03-21T20:15:17.941Z,1.00,1.00
2015-03-21T20:15:05.623Z,1.00,1.00
2015-03-21T20:14:56.561Z,1.00,1.00
2015-03-21T20:14:40.511Z,1.00,1.00
2015-03-21T20:14:20.569Z,1.00,1.00
2015-03-21T20:14:09.589Z,1.00,1.00
2015-03-21T20:13:48.511Z,1.00,1.00
2015-03-21T20:13:16.546Z,1.00,1.00
2015-03-21T20:13:05.251Z,1.00,1.00
2015-03-21T20:12:54.789Z,1.00,1.00
2015-03-21T20:12:38.706Z,1.00,1.00
2015-03-21T20:12:33.021Z,1.00,1.00
2015-03-21T20:12:14.478Z,1.00,1.00
2015-03-21T20:11:55.639Z,1.00,1.00
2015-03-21T20:11:38.091Z,1.00,1.00
2015-03-21T20:11:18.785Z,1.00,1.00
2015-03-21T20:11:05.578Z,1.00,1.00
2015-03-21T20:10:55.596Z,1.00,1.00
2015-03-21T20:10:40.410Z,1.00,1.00
2015-03-21T20:10:28.588Z,1.00,1.00
2015-03-21T20:10:16.199Z,1.00,1.00
2015-03-21T20:09:55.619Z,1.00,1.00
2015-03-21T20:09:43.527Z,1.00,1.00
2015-03-21T20:09:29.091Z,1.00,1.00
2015-03-21T20:09:15.746Z,1.00,1.00
2015-03-21T20:08:48.747Z,1.00,1.00
2015-03-21T20:08:32.457Z,1.00,1.00
2015-03-21T20:08:18.030Z,1.00,1.00
2015-03-21T20:08:10.206Z,1.00,1.00
2015-03-21T20:07:59.633Z,1.00,1.00
2015-03-21T20:07:43.957Z,1.00,1.00
2015-03-21T20:07:35.605Z,1.00,1.00
2015-03-21T20:07:19.584Z,1.00,1.00
2015-03-21T20:07:14.072Z,1.00,1.00
2015-03-21T20:07:06.272Z,1.00,1.00
2015-03-21T20:06:55.106Z,1.00,1.00
2015-03-21T20:06:26.757Z,1.00,1.00
2015-03-21T20:06:21.940Z,1.00,1.00
2015-03-21T20:06:16.011Z,1.00,1.00
2015-03-21T20:06:09.331Z,1.00,1.00
2015-03-21T20:05:59.997Z,1.00,1.00
2015-03-21T20:05:48.152Z,1.00,1.00
2015-03-21T20:05:42.373Z,1.00,1.00
2015-03-21T20:05:35.815Z,1.00,1.00
2015-03-21T20:05:30.093Z,1.00,1.00
2015-03-21T20:05:19.687Z,1.00,1.00
2015-03-21T20:05:13.672Z,1.00,1.00
2015-03-21T20:05:06.240Z,1.00,1.00
2015-03-21T20:05:00.906Z,1.00,1.00
2015-03-21T20:04:55.364Z,1.00,1.00
